Episode,Total Reward,Boxes Placed on Target,Boxes Moved Away from Target,Total Waiting Moves,Game Lost
0,-11.0,0,0,0,2
1,-14.799999999999999,0,0,0,2
2,-18.999999999999996,2,1,0,1
3,-20.000000000000014,0,0,0,1
4,-20.000000000000014,0,0,0,1
5,-12.1,0,0,0,2
6,-20.000000000000014,0,0,0,1
7,-12.2,0,0,0,2
8,-10.7,0,0,0,2
9,-14.000000000000002,0,0,0,2
10,-20.000000000000014,0,0,0,1
11,-12.0,0,0,0,2
12,-20.000000000000014,0,0,0,1
13,-12.2,0,0,0,2
14,-20.000000000000014,0,0,0,1
15,-14.7,0,0,0,2
16,-11.6,0,0,0,2
17,-26.499999999999964,0,0,0,2
18,-10.6,0,0,0,2
19,-15.599999999999996,1,0,0,2
20,-20.000000000000014,1,1,0,1
21,-19.0,1,0,0,1
22,-10.7,0,0,0,2
23,-12.4,1,1,0,2
24,-10.299999999999999,0,0,0,2
25,-19.0,1,0,0,1
26,-11.9,0,0,0,2
27,-10.9,1,1,0,2
28,-17.599999999999987,1,0,0,2
29,-19.0,1,0,0,1
30,-19.0,1,0,0,1
31,-28.099999999999987,1,0,0,2
32,-12.3,1,0,0,2
33,-12.3,1,0,0,2
34,-19.0,2,1,0,1
35,-19.0,1,0,0,1
36,-23.699999999999967,1,1,0,2
37,-15.599999999999996,1,0,0,2
38,-17.999999999999982,2,0,0,1
39,-11.9,1,0,0,2
Episode at first win,
